CustomerTransactionId,CustomerId,ProductId,Quantity,UnitPrice,Discount,TotalPrice,PaymentMethod,Location,Status,CustomerTransactionTimestamp,CustomerName,CustomerEmail,ProductName,ProductDescription
"835fdc07-d912-4432-9055-3728099405a1","3068d523-6a75-4880-8a2e-7768da8dfa57","e4784235-946c-40df-9cd7-8bc1f0e7ae44",2,18.5,7.64,29.36,"Voucher","Store 68","Cancelled",10/23/2024 6:15:38 PM,"John Davis","john.davis@example.com","Sample Product A","Description for product A."
"917d89d9-c658-4a0f-9ea0-4b7357b77fa5","9991bc33-690b-49f2-9e22-cfb76862d113","c7b81d87-0a12-4584-ae8a-5597d0c8273d",4,22.66,13.58,77.06,"Cash","Store 68","Cancelled",10/21/2024 6:15:38 PM,"Olivia King","olivia.king@example.com","Sample Product B","Description for product B."
"1b23b05a-42e2-4faa-ae60-5f09984efd8b","8d5f3307-8a5b-4aca-9eb6-4ee5ffb1b31a","6ebe8934-372b-40ea-8720-e2fadb357b1d",2,47.35,7.49,87.21,"Voucher","Store 68","Cancelled",10/24/2024 6:15:38 PM,"Mason White","mason.white@example.com","Sample Product C","Description for product C."
"fa3d4fbd-9d31-4eda-b64e-3420edf35d44","187cc987-074f-4fb4-81e5-2c7f50484ef4","c601de91-5e0e-4b57-b1d8-8b49e9576f32",4,60.62,17.37,225.11,"CreditCard","Store 68","Completed",10/16/2024 6:15:38 PM,"Hannah Lewis","hannah.lewis@example.com","Sample Product D","Description for product D."
"00c9c262-0f94-428c-99fc-79ba9d372637","6ab3607f-1765-4acc-b3a5-c7d44510df33","f9c61d9c-8193-4cc8-b9f0-9287583f156f",1,89.05,17.84,71.21,"Cash","Store 68","Completed",10/22/2024 6:15:38 PM,"John Garcia","john.garcia@example.com","Sample Product E","Description for product E."
"a89b4838-7e34-4d2a-8eca-3731ad84b775","6a5ef922-1aa8-4197-aa8e-e22acfb87348","456fdf96-1d9d-4bb4-b0e9-56807f7cd9f0",2,22.98,10.9,35.06,"Cash","Store 65","Pending",10/19/2024 6:15:38 PM,"Grace Brown","grace.brown@example.com","Sample Product F","Description for product F."
"8d2682e0-e81f-4fc4-98c5-a792ece95311","6910c771-8759-4112-8b71-f700b5b6761d","fe8587fd-a796-4c98-a174-dc0fe4604eca",5,93.03,12.41,452.74,"Voucher","Store 68","Completed",10/31/2024 6:15:38 PM,"John Johnson","john.johnson@example.com","Sample Product G","Description for product G."
"d1ff036e-08bc-4454-85e6-e866a684f94f","d22a2b3e-dae7-4d1d-a402-8b2e77433e5c","57d42be8-e425-4b6c-abf4-f2b92e1c4f54",2,48.31,18.81,77.81,"Cash","Store 67","Completed",11/8/2024 6:15:38 PM,"Amelia Thomas","amelia.thomas@example.com","Sample Product H","Description for product H."
"917d89d9-c658-4a0f-9ea0-4b7357b77fa5","9991bc33-690b-49f2-9e22-cfb76862d113","1a697c68-ef6e-43ee-a8c9-83c4d9f190a9",3,24.54,4.97,68.65,"Cash","Store 66","Cancelled",11/2/2024 6:15:38 PM,"Mason Davis","mason.davis@example.com","Sample Product I","Description for product I."
"4c9b03cf-86f2-4c63-85c1-68276cc7dc8d","d6f7dd23-1556-4993-b845-7fba020bf2a7","202ca640-6de6-4109-a894-2535b0f29d25",2,74.77,17.38,132.16,"Voucher","Store 68","Pending",10/23/2024 6:15:38 PM,"Isabella Miller","isabella.miller@example.com","Sample Product J","Description for product J."
"7e077e8c-60b0-41ff-964e-e85f8650e1cf","c2805df7-4a72-45d3-8b61-813b136b7a31","b20d168c-0990-4ea1-aa40-d35bac37ecc0",1,15.47,18.72,-3.25,"Voucher","Store 68","Completed",10/22/2024 6:15:38 PM,"Mason Clark","mason.clark@example.com","Sample Product K","Description for product K."
"dd31da65-e5c2-487e-9845-2c90c3712888","658b7537-c64c-4788-9523-59567b552f78","478ec5c7-0d95-4e19-9d66-1d9c9e9d4484",3,68.22,18.92,185.74,"Cash","Store 66","Cancelled",10/17/2024 6:15:38 PM,"Charlie Robinson","charlie.robinson@example.com","Sample Product L","Description for product L."
"d5c2f91e-9d2b-4bb3-9afe-be87db7a0712","392dbb3c-2b13-4b67-b263-0d1c515cee16","80113f71-3a87-4a49-956a-de9718343b1c",5,35.72,17.03,161.57,"Voucher","Store 65","Cancelled",10/23/2024 6:15:38 PM,"Emma Harris","emma.harris@example.com","Sample Product M","Description for product M."
"dec16f9f-5528-43a1-a247-213dc1957b29","b2ec7886-a446-43f5-95b7-6df24a9105b5","c32d63d3-965e-45f3-855b-50643d70e115",3,50.65,7.85,144.1,"Voucher","Store 68","Cancelled",11/7/2024 6:15:38 PM,"Hannah Smith","hannah.smith@example.com","Sample Product N","Description for product N."
"a047a3e4-0cce-411a-a4a2-5ee95bc2c02b","30dfde5b-97c1-4a3c-b763-057470841ebe","e21ad4c7-71a2-456c-af10-71692b76f83e",4,37.48,10.81,139.11,"Voucher","Store 66","Cancelled",11/5/2024 6:15:38 PM,"Ethan Clark","ethan.clark@example.com","Sample Product O","Description for product O."
"43bef359-8f61-47b4-b84f-18860f0ad6ea","373a0f38-4833-42a3-badc-531fab0314f9","81179a16-4e3c-4879-ae56-0862c4b2932f",2,59.35,4.36,114.34,"DigitalWallet","Store 67","Completed",10/19/2024 6:15:38 PM,"Amelia Brown","amelia.brown@example.com","Sample Product P","Description for product P."
"825a1448-df32-4319-afa4-6139b34ed6f8","7680c059-120d-48bc-835c-68ff50dc7d61","21b9460c-cf20-410f-be48-0038a4640c81",1,90.13,18.28,71.85,"Cash","Store 68","Cancelled",10/13/2024 6:15:38 PM,"Amelia Anderson","amelia.anderson@example.com","Sample Product Q","Description for product Q."
"8e77493b-66a2-4b15-965d-78b6cec0253f","857b9162-e118-4377-a614-9d4ddcd9fb82","05874abc-1698-4398-9a66-0913897275d1",5,78.17,8.73,382.12,"Voucher","Store 67","Pending",10/12/2024 6:15:38 PM,"Emma Lewis","emma.lewis@example.com","Sample Product R","Description for product R."
"43bef359-8f61-47b4-b84f-18860f0ad6ea","373a0f38-4833-42a3-badc-531fab0314f9","16bdde86-1320-4916-8ba8-27182ab545d0",4,91.06,19.3,344.94,"DigitalWallet","Store 65","Completed",10/17/2024 6:15:38 PM,"Sophia Lewis","sophia.lewis@example.com","Sample Product S","Description for product S."
"0dfbae4c-cd69-4f11-b4c0-338e2371d943","8b001c3b-e242-4c8a-8896-ec635ff18887","c0095ac0-462a-42ab-a5b6-a013e056fb8e",4,59.01,5.58,230.46,"Cash","Store 67","Pending",10/22/2024 6:15:38 PM,"Eva Jones","eva.jones@example.com","Sample Product T","Description for product T."
"db7eebd5-8e95-490e-8196-d87e8187bb39","f0c916f1-dc54-4a82-916d-52f90c937ee5","25ceb473-53f1-4c7e-9986-689d4fb6231d",3,75.7,6.64,220.46,"CreditCard","Store 68","Cancelled",11/3/2024 6:15:38 PM,"Jane Martinez","jane.martinez@example.com","Sample Product U","Description for product U."
"db7eebd5-8e95-490e-8196-d87e8187bb39","f0c916f1-dc54-4a82-916d-52f90c937ee5","8ad14975-6f20-419a-a8a1-617c1ce5237e",1,83.94,0.75,83.19,"Cash","Store 65","Pending",10/28/2024 6:15:38 PM,"Lily Moore","lily.moore@example.com","Sample Product V","Description for product V."
"c90b28e8-e585-40a5-b1ff-f8b353a31187","ab539324-e147-489c-a443-9d1eebb8f9ce","8fa25779-81b9-4475-867c-55357f15a064",3,77.28,19.72,212.12,"DigitalWallet","Store 66","Completed",10/13/2024 6:15:38 PM,"Grace Clark","grace.clark@example.com","Sample Product W","Description for product W."
"ad26d9a7-a74d-411f-9dda-d2724b3f5e15","36859ff3-6550-49bf-a994-4d66b72c0eaa","1909cbb2-60e9-489c-85ba-ad923c93563b",3,40.69,18.1,103.97,"DigitalWallet","Store 68","Pending",10/23/2024 6:15:38 PM,"Hannah Allen","hannah.allen@example.com","Sample Product X","Description for product X."
"6050b417-a7c1-40a8-980e-bfd96bb269db","16188d1b-94dc-41bf-93f8-60c123559b12","f5021967-c40d-4ff2-9c72-51940180c4dc",3,93.61,8.22,272.61,"CreditCard","Store 66","Pending",11/4/2024 6:15:38 PM,"Chloe Walker","chloe.walker@example.com","Sample Product Y","Description for product Y."
"dd31da65-e5c2-487e-9845-2c90c3712888","658b7537-c64c-4788-9523-59567b552f78","bc5ff738-5027-404f-8d80-b611808c9064",5,50.82,3.32,250.78,"DebitCard","Store 65","Cancelled",10/27/2024 6:15:38 PM,"Alice Lewis","alice.lewis@example.com","Sample Product Z","Description for product Z."
"fa3d4fbd-9d31-4eda-b64e-3420edf35d44","187cc987-074f-4fb4-81e5-2c7f50484ef4","e4784235-946c-40df-9cd7-8bc1f0e7ae44",5,46.44,3.81,228.39,"Cash","Store 65","Pending",10/23/2024 6:15:38 PM,"Emma Lewis","emma.lewis@example.com","Sample Product A","Description for product A."
"43bef359-8f61-47b4-b84f-18860f0ad6ea","373a0f38-4833-42a3-badc-531fab0314f9","c7b81d87-0a12-4584-ae8a-5597d0c8273d",2,88.4,3.95,172.85,"DebitCard","Store 66","Completed",11/8/2024 6:15:38 PM,"Charlie Garcia","charlie.garcia@example.com","Sample Product B","Description for product B."
"25ee5aa3-4a79-411e-bfb9-2885ab867f20","8d7c3ed2-a53b-4098-9809-d520b44fd406","6ebe8934-372b-40ea-8720-e2fadb357b1d",3,66.28,15.66,183.18,"DebitCard","Store 68","Pending",10/27/2024 6:15:38 PM,"Charlotte Miller","charlotte.miller@example.com","Sample Product C","Description for product C."
"6ad9bc1d-86b2-465f-9edf-320a8ae78c00","5093032b-d75c-4434-b13f-d36709be65b1","c601de91-5e0e-4b57-b1d8-8b49e9576f32",5,86.87,12.43,421.92,"DebitCard","Store 66","Pending",11/2/2024 6:15:38 PM,"Jackson Walker","jackson.walker@example.com","Sample Product D","Description for product D."
"d909d638-d5c0-4535-b2e7-b1ddc74e966d","10dce3ae-e69d-4ed8-8c12-d4a6e0c80012","f9c61d9c-8193-4cc8-b9f0-9287583f156f",2,48.15,1.89,94.41,"DigitalWallet","Store 65","Completed",10/13/2024 6:15:38 PM,"Bob Brown","bob.brown@example.com","Sample Product E","Description for product E."
"835fdc07-d912-4432-9055-3728099405a1","3068d523-6a75-4880-8a2e-7768da8dfa57","456fdf96-1d9d-4bb4-b0e9-56807f7cd9f0",3,21.57,10.31,54.4,"CreditCard","Store 66","Cancelled",10/11/2024 6:15:38 PM,"Chloe Robinson","chloe.robinson@example.com","Sample Product F","Description for product F."
